time,language,tweets
2021-04-01 21:58:45,en,"Concerning the use of aborted baby tissue in the J&amp;J Covid vaccine:

“The J&amp;J vaccine has sparked debate among some religious communities because it was developed from stem cells obtained during two abortions decades ago.”

Evil is still evil, even if it was decades ago."
2021-04-01 21:58:44,und,@and_kell @ds13_manon https://t.co/sKnTctMKcF
2021-04-01 21:58:43,pt,Estão vacinando 3 MILHÕES de pessoas por dia nesse país. Não é possível uma coisa dessa. https://t.co/iNP7RvWsat
2021-04-01 21:58:42,en,imagine an animal getting the covid-19 vaccine b4 a human
2021-04-01 21:58:40,en,"Definition of a microstate: https://t.co/8N0R8Mhl73

Source of vaccine data: https://t.co/0RQFJPTrZZ"
2021-04-01 21:58:33,en,"If I’ve Had COVID-19, Do I Still Need Two Doses of Vaccine? https://t.co/08AiBgfEHQ"
2021-04-01 21:58:31,en,"My epidural was delayed again, somehow my covid vaccine does not interact well with an epidural. SOOOOO I should be getting it on my birthday. Yay. 

 So far I have 1-2 dr appointments a week this entire month.
  
On the upside they've given me proper muscle relaxers this time."
2021-04-01 21:58:31,en,Blake Lively hilariously called out her husband Ryan Reynolds for what he posted after they got their COVID-19 vaccine shots https://t.co/GixfzNnHBc
2021-04-01 21:58:30,en,"@Kit_Yates_Maths Tests
1. Vax deployment ✅✅
2. Vax reduces hospitalisation ✅✅
3. Infection rates unsubstantiated pressure on NHS ✅
4. Variants of concern ☑️

So not measured but very conservative 
https://t.co/iVMKF2pPsF https://t.co/ta4t21HH9s"
2021-04-01 21:58:30,en,Here’s how you can be forced to get the Covid vaccine in the US https://t.co/dparLwxbq2
2021-04-01 21:58:27,en,"I received my second dose of the Covid-19 vaccine today. I’m grateful, and hopeful for a return to normalcy on the horizon. I want to thank everyone working so hard to get folks vaccinated. Get your vaccine here: https://t.co/YAl9dOBkLo #GetYourShot #vaccinated https://t.co/WH5AdwbgkP"
2021-04-01 21:58:27,en,"@JoshMatlow Ok how many times has this How do we have vaccine clinics in areas where Covid cases are highest ?
Or most important paid sick leave?
Please Mr Matlow what we can we the ordinary citizen do? It seems you are unable to do anything?  I am pleading with you do something!"
2021-04-01 21:58:25,en,"Ongoing trial shows Pfizer Covid-19 vaccine remains highly effective after six months

https://t.co/ZdwMrnJNBg"
2021-04-01 21:58:25,en,@Pfizer @moderna_tx @FDA @J&amp;J @AstraZeneca when will the children ages 1-12 Covid vaccine trial be completed? 3 boys aged 5 to 9 waiting with rolled up sleeves. #GetTheShot #GetVaccinated #COVID19
2021-04-01 21:58:24,en,Over 5M Canadians given at least one COVID-19 vaccine dose as rollout picks up steam https://t.co/zk9dQd3mRU
2021-04-01 21:58:23,en,@Bobbyyo48025095 @mtgreenee Exercise is NOT a vaccine. I have students who are young and healthy but got Covid. They survived but now have ongoing lung problems. Everyone needs to vaccinate
2021-04-01 21:58:22,en,"Spain’s Madrid region halts COVID-19 vaccinations at health centers for four days so medical staff can rest over the Easter holiday, despite pleas from the national government not to pause the fight against surging infections. https://t.co/m6bKky2u1C"
2021-04-01 21:58:19,hi,"CORONA VACCINATION को लेकर लोगों में खासा उत्साह, HOSPITALS में उमड़ी लोगों की भीड़
https://t.co/P6axYKIPIt

#himachal_pradesh #hamirpur #chamba #corona_vaccine #hospitals #covid_19 https://t.co/ylJN0AUhL8"
2021-04-01 21:58:15,en,"“UNC has been home to some particularly hungry lab mice, as starting in August of 2015, right as Dr. Baric was mastering the creation chimeric SARS-like coronaviruses in the lab –the kind of thing you might want as a template for a live-attenuated vaccine” https://t.co/m7D3nG4Yvt"
2021-04-01 21:58:14,und,https://t.co/j2braq4wFx
2021-04-01 21:58:14,en,"@ZaidJilani Vermont has different formal eligibility rules based on whether you are a BIPOC household. 

https://t.co/eZbrFlIBsS"
2021-04-01 21:58:13,en,"COVID cases spiking in Massachusetts, more communities now at high-risk

""... B.1.1.7 is widespread in Massachusetts and is circulating within communities...It is critical to do everything possible to keep variants of concern from becoming more widespread""
https://t.co/4u2WNwhsjp"
2021-04-01 21:58:12,en,"The best covid vaccine is whatever you get, as opposed to not getting one ... Why you can’t compare Covid-19 vaccines https://t.co/ZJS2yquQcO via @voxdotcom"
2021-04-01 21:58:11,en,@DarkCarniVol @s_mishra21 @FancyFace1111 @80suburbia Y’all better have your two doses of Covid vaccine - because we’re passing this around if I’m buying https://t.co/ZJA9RekObe
